,expr
7069,"$[a,b] \subset [0,1]$"
7070,$\prec_3^*$
7071,$R_1(0)$
7072,$\lambda = \lambda_0+\lambda_1$
7073,$g'\circ S_{X\wedge a}$
7074,$\Delta X_k$
7075,$\implies\mathsf{FATOU}$
7076,$\epsilon^2$
7077,$X_n(\omega)\to 0$
7078,$a_Y \le \rho(Y)$
7079,"$\bar P_{0,t}:=\rho(Y_{0,t})$"
7080,"$g(s)=\min(g_1(s), g_2(s))$"
7081,$\theta=-\mu^{-1}$
7082,$A_k = A_0 + kN$
7083,"$\mathrm{ess\,sup}(X)$"
7084,$L$
7085,$x\mapsto x^c$
7086,"$x_c, x_n$"
7087,$X(x)$
7088,$\rho(X)=\int_0^1 q(s)\phi(s)ds=\int_0^1 q(s)g'(1-s)ds$
7089,$\mathsf{Pr}r(X=y_j)$
7090,$\mathsf{E}[X_1]=\mu$
7091,$\omega_1=1$
7092,$p_i/(1 - \alpha)$
7093,$X_1=P_1X$
7094,$g(0) = 0$
7095,$\mathsf{var}phi (2 X) = \mathsf{var}phi(X + X) = 2 \mathsf{var}phi(X)$
7096,$\mathsf{E}[X\mid \mathcal F_{\tau}]$
7097,$e^{-2\pi i}=-1$
7098,$a_Y$
7099,$X^{\tau_n}$
7100,"$(X,\mathscr{F},\mathsf{Pr})$"
7101,$E[G]=1$
7102,$S_t \ge 0$
7103,$\rho^e_g$
7104,"$(\Omega,\mathscr F, \mathsf P)$"
7105,$W_t=\zeta_1Z_1+\dots +\zeta_tZ_t$
7106,$\mathsf{S}$
7107,$r:=r_p=r_c>i$
7108,$\rho(x+X) = x + \rho(X)$
7109,"$r_2 = 3852972862.741849 \approx 3,852,972,862.7$"
7110,$g(s)^2<g(s^2)$
7111,$\mu<0$
7112,$\Omega_i^Y$
7113,$\mathsf{Var}(X+a)=\mathsf{Var}(X)$
7114,$d-d^2=v-v^2=dv$
7115,$R_L=-k R_f + \beta_L(R_M-R_f)$
7116,$d=1-v$
7117,$2/\sqrt{\alpha}$
7118,$d_x = r_x v_x$
7119,$W_i$
7120,$G=G_1-1$
7121,$s_{R+1}$
7122,"$\mathsf{NORM,TI}$"
7123,$x_i=q(u_i)$
7124,"$\alpha=n/2,\beta=1/2$"
7125,$N=71$
7126,$g(s(t)) = m(t)+s(t)$
7127,$t>t_1^*$
7128,$=A_y =$
7129,$r_i = (P_i - \mathsf{P}[X_i]) / P_Q$
7130,$m_Y$
7131,$m_i$
7132,$s_i=1-p_i$
7133,$\mathsf{E}[Z_1]=\mathsf{E}[Y]$
7134,$Z\circ\tau$
7135,$0 \le \alpha \le 1$
7136,$D_t \ge 0$
7137,$L_0^{500}(x)$
7138,$\hat\rho(X)=g(s/\omega_I)g(\omega_I)<g(s)$
7139,$\rho(X+\epsilon Y)=\mathsf{E}[h_\epsilon (X+\epsilon Y)]$
7140,$\mathsf{E}[F_2]=\mathsf{E}[F_0]$
7141,$\iota_{1/2}$
7142,$g=W$
7143,$X^1$
7144,"$[1-\alpha, 1]$"
7145,$q_1$
7146,"$1,779*:*21. This is also \$"
7147,$\Delta = g^{-1}(\Delta_\mathbb{R})$
7148,$\bigcup_{i=1}^{\infty} A_i \in \mathcal{M}$
7149,$n\ge 2$
7150,$\rho_m(X)<r$
7151,$\mathcal{G}=\sigma(X)$
7152,$\sqrt{2Np}$
7153,$\epsilon\times Y(\mathbf{X})\times$
7154,$0\le p_1<p_2<\cdots < p_n \le 1$
7155,$V(x_i)$
7156,$\sum_i X_i(a)=X\wedge a$
7157,$\mathsf{E}(X\mid X=x)$
7158,$T_i$
7159,$g(s)=vs + d$
7160,$\rho(X)=\mathsf{E}_{\mathsf Q_X}[X]$
7161,$\rho(X+Y) \le \rho(X^c + Y^c)$
7162,"$\{1,2,3\}$"
7163,$q(U)=F^{-1}(U)$
7164,$-g''(s)=\alpha(\alpha-1)s^{\alpha-2}$
7165,$j-1$
7166,$g(s)=\sqrt s$
7167,$R_2(t_2-\epsilon)<R_2(t_2)=R_2(1)$
7168,$vL + da$
7169,"$\int |X_n(\omega) - X(\omega)|^p\, \mathsf{Pr}(d\omega)\to 0$"
7170,$X\in\mathcal{A}_\rho$
7171,$g(s)>s$
7172,$S_1$
7173,"$t\in[0,0.7]$"
7174,${}^{[>45]}$
7175,$m(y)$
7176,$\sum_i q_iX_i$
7177,$c(\{i\})=c(i)$
7178,"$X_{t-d,d}$"
7179,$g(s)=s^b$
7180,$T=T_B\circ T_A$
7181,$y=q_h(p)$
7182,$n\ge N$
7183,"$1 million in punitive damages from Steyn, $"
7184,"$(A, a)$"
7185,$X_{2}$
7186,$f(p)=E[f(X)]$
7187,$1-q$
7188,$F_1^{-1}(\omega_1)+F_2^{-1}(\omega_2)$
7189,$\mathsf{Var}(X)=\mathsf{E}[X^2]-\mathsf{E}[X]^2$
7190,"$\mathsf{E}[e^{\theta X_t}] = e^{t\,\kappa_X(\theta)}$"
7191,$\mathbf {X_1(a)}$
7192,$R_1(t) \ge \mathsf{E}[X_1]$
7193,$\int X=0$
7194,$o_p$
7195,$k=\rho(X)-\pi(X)$
7196,$A=\alpha(X)$
7197,$0\le b\le 1$
7198,$p=0.458$
7199,$\lambda < 1$
7200,$L_p/L_q$
7201,$\mathsf{Q}_2$
7202,"$\mathsf{cov}(X_i,\sum_j X_j)=\mathsf{cov}(X_i,X_i)=\mathsf{Var}(X_i)>0$"
7203,$0\le p\le 1$
7204,$M_t$
7205,$\mathsf{E}_{QQ'}[X_i(a)] \ne \mathsf{E}_{QQ}[X_i(a)]$
7206,$RM$
7207,$s\mapsto 1-g(1-s)$
7208,$\rho(X)=  (1+r_f)^{-1}\mathsf{E}_Q[X]$
7209,$1.05/1.3 = 0.808$
7210,"$400,000 Treaty Retention: \$"
7211,${}^{[>104]}$
7212,$0\leq f \leq 1$
7213,"$(valu1.south east)+(\boundpad,-\boundpad)$"
7214,"$\lambda p_{k,n}\approx \lambda f(k/n)/n$"
7215,$x\mapsto xX$
7216,$s_R$
7217,$P/l-1 =\rho= \iota Q / l = \iota(C/l + g)$
7218,$\rho(X)=\int_0^\infty x g'(S(x))f(x)dx$
7219,$2^1+1\rightarrow 3^1+1-1=3^1 \rightarrow 4^1-1=3 \rightarrow 2 \rightarrow 1 \rightarrow 0$
7220,$\bar M(a):=\int_0^a M(x)dx$
7221,$v_i=\mathsf{Pr}hi^{-1}(i/(2m+1))$
7222,"$\mathrm{ess\,sup}(X)=1$"
7223,$\mathsf{Var}^+(X) = \int_{\mathsf{E}[X]}^\infty (x-\mathsf{E}[X])^2 f(x)dx$
7224,"$[0, \epsilon_1]$"
7225,"$[-\infty, 2]$"
7226,$\mathsf{E} X + c\mathsf{E}[((X-\tau)^+)^p]^{1/p}$
7227,"$EL = E[X] = \int S(x)\,dx = \int xf(x)\,dx$"
7228,"$X_{t-1,2}$"
7229,$\alpha_1(99)=0.1$
7230,$P_k=g(S_k)=\nu_k S_k+\delta_k$
7231,$S(x_1)(x_2-x_1)$
7232,$\rho(X)\ $
7233,$(g(s)-s) / (1-g(s))$
7234,"$X,\, X_i\in L^\infty$"
7235,$X_t$
7236,$\mu=\tau(\theta)$
7237,"$\{s_L,\dots,s_m=1\}$"
7238,$1-\exp(-q(p)/\mu)=p$
7239,$c(1)-c(\mathsf{var}nothing)=c(1)$
7240,$Y_n\uparrow 0$
7241,$\bar Y$
7242,$\kappa_i(X_k)$
7243,$\sqrt{s^2}$
7244,$f(1)=1$
7245,"$81,858,610 in return premiums**, which is netted against premiums ceded (reinsurance) in the statements of income and $"
7246,$X(\omega)=1-\omega$
7247,$\mathsf{Pr}r(X ≥ x_0) = p$
7248,$400 to over $
7249,$ which is an extreme stable with L&eacute;vy distribution $
7250,$\mathsf{E}[|X_1|]<\infty$
7251,$X\preceq_m Y$
7252,$D\rho_X(X_1)=6.2085$
7253,$\mathbf {a_1'}$
7254,$\mathsf{Pr}r(\omega)$
7255,"$\alpha_i(a) = \dfrac{\sum_{j:X_j>a} (X_{i,j}/X_j)p_j}{\sum_{j:X_j>a} p_j}$"
7256,"$\mathsf{E}[Y]/\text{mean}(\mathcal E_{X,r}(Y))$"
7257,$\sup_{\alpha \in A} \mathsf{E}[|X_\alpha|^p] < \infty$
7258,$a_0=1000$
7259,$\mathbf {a}$
7260,$\mathsf{E}[X^k-Y^k]=\int x^k\mu_X(dx)-\int y^k\mu_Y(dy)=\int x^k\nu(x)$
7261,$\mathsf{E}[Y] = 50.4$
7262,$N'/w-\alpha a\le Mg$
7263,$\mathsf{E}[v^T] \ge v^{\mathsf{E}[T]}$
7264,$B_r$
7265,$\Lambda = \dfrac{E( r_{U} ) - r_{f}}{\sigma_{U}  \sigma_{r_{U}}}$
7266,$\int_0^1 \mathsf{TVaR}_p(X)m(dp)$
7267,"$s_R,s_{R+1},s_m$"
7268,$\rho(X\wedge a)=0.909$
7269,$\partial f_{\bar x}/\partial x_i$
7270,$B=\Omega\setminus C$
7271,$p\nu(p)=p((\nu(p)-l(p))+l(p)) = \nu^*\sqrt{pq} + v(p-\sqrt{pq})$
7272,$\mathcal F_{\tau}$
7273,$\rho(X) = a = \mathsf{E}[X | A] = ES$
7274,$\subset$
7275,$\alpha=$
7276,"$j=i^\star+1,\dots,m$"
7277,$\Delta X_k-P_k$
7278,$A=X_1+\cdots +X_N$
7279,$F_m\succ_m F_0$
7280,$V^*$
7281,$\omega=0.\omega_1\omega_2\dots$
7282,$\int_0^1$
7283,$_{b}$
7284,$g=\mathsf{TVaR}_p$
7285,$X\le b$
7286,$Y_\nu=Z_\nu/\nu$
7287,"$500,000 excess of \$"
7288,$5 trillion business. Property casualty insurers write $
7289,"$(1,\infty)$"
7290,$\mathsf{E}_{\mathsf Q}[X]$
7291,$X=\sum_i X_i$
7292,"$1,000  | \$"
7293,$\sigma=2.5$
7294,$(\cdot)^i$
7295,$\bar M_i(a) = \bar P_i(a) - \mathsf{E}[X_i(a)]$
7296,$\mathsf{E}[X_1h(X)]$
7297,"$, @Pichler2015a, 6.1. @Dentcheva2010 (DPR) goes to great lengths to prove represented by transforms (AVaR to spectral transform) with $"
7298,$X>Y$
7299,"$\mathit{ED}(\mu, \sigma^2)$"
7300,${X}_p=\mathsf{E}[|X|^p]^{1/p}$
7301,"$\min(X,a)$"
7302,$\mathit{ROL} = \exp( \alpha_{0}  \log( \mathit{AEL} ) + \alpha_{1}  \log( \mathit{AEL} )^{2} )$
7303,$\alpha=1/\nu^2$
7304,$=\displaystyle\int_0^\infty x f(x)dx$
7305,$<$
7306,$\rho(X \circ T)=\rho(X)$
7307,$\mu_{rU} = M/K = 0.133$
7308,$\|Y\|_{\sigma} = \rho_\sigma(Y)$
7309,$\mathsf{E}[(a-X)^+]$
7310,$\sigma^2>0$
7311,$g^1=g^2=g$
7312,$V(m)=m^2$
7313,$\delta = \iota /(1+\iota)$
7314,$m\left(1+\dfrac{m}{p}\right)\left(1+\dfrac{a+1}{a}\dfrac{m}{p}\right)$
7315,$s_m$
7316,$S(u)$
7317,$g(s) = d + (1-d)h(s)$
7318,$\Delta P$
7319,$dG/dF=g'(S(x))$
7320,$\mu=0.1$
7321,$m=0.25$
7322,$\mathscr{G}=\sigma(Y)$
7323,$p=(\alpha+2)/(\alpha+1)=3$
7324,$G_i'$
7325,$m(s)=\beta(\beta-1)s^{\beta-2}(1-s)$
7326,$r=0.1$
7327,$\delta p$
7328,$EL(x)=S(x)$
7329,$\le 1/N$
7330,$\text{AVaR}_\alpha(X)$
7331,$N \mid G$
7332,$5/6$
7333,$\rho(Y)=T_{m_2}(Y)-v(m_2)$
7334,"$g\in D_n^*=\{ g \mid  (-1)^{k+1} g^{(k)} \ge 0, k=1,\dots,n-1, (-1)^n g^{(n-1)}\text{ non-increasing} \}$"
7335,$\alpha_i(k) = \mathsf{E}_p[\kappa_i(X)/X\mid X > X_k]$
7336,$\beta=\alpha/\mu$
7337,$g(s)=\mathsf{Pr}hi(\mathsf{Pr}hi^{-1}(s)+\lambda)$
7338,$p_- < p_0 < p_+$
7339,"$242,000 (= \$"
7340,$X > X_{k+1}$
7341,$X_i^y$
7342,$q_{j} = g_{j} - g_{j + 1}$
7343,$\rho(X^{\oplus N})$
7344,$0.5L_{250}^{500}(x)+0.75L_{500}^{750}+L_{750}^{1000}$
7345,$h=2$
7346,"$(Bob) + (0,-3.5)$"
7347,$p_{j+}$
7348,$Y\circ T_i$
7349,$p_0>0$
7350,"$(0,0,\dots,0,10)$"
7351,$1 < \alpha < 2$
7352,$g(s)=m(s)+s$
7353,$n(n-1)/2$
7354,"$\{1,\dots,n \}$"
7355,$t+1$
7356,$1-\alpha$
7357,$\int_0^a g(S(x))dx$
7358,$\mathsf{E}[X]=\mathsf{E}[X;q(p)] + (1-p)\mathsf{TVaR}_p(X)$
7359,$F_I$
7360,$E(X_{0}(a))$
7361,$X=m + (n-m)H$
7362,$\mathsf{E}[X_ih(X)]$
7363,$\alpha_i'(x)<0$
7364,$p(a) = S(a) + \delta F(a)$
7365,$\alpha_i(x):=\mathsf{E}\left[\dfrac{X_i}{X}\mid X > x\right]$
7366,$\eta=0$
7367,$aY_i/Y$
7368,$\beta\gamma/(\beta+\gamma)$
7369,$Z_{\tilde X}$
7370,$p<0.1$
7371,"$[9750, 10550]$"
7372,$2\mathsf{VaR}_p(X_1) - \mathsf{VaR}_p(X)$
7373,$t=t_1^*$
7374,$\mathsf{E}[Z\mid X]$
7375,$Le^{-\delta T_x}1_{T_x<n}$
7376,"$\omega\in(\omega_I, 1]$"
7377,"$(\Omega,\mathscr{F})$"
7378,"$j=0,1,\dots, n'$"
7379,$\rho(X\wedge k)$
7380,$z_i$
7381,$\mathbf{m}(\lambda)$
7382,$\nu:\Sigma\to\mathbb{R}$
7383,$\int g\circ S=\int S^{-1}g'$
7384,$5 \times 4 \times 4 \times 3 = 240$
7385,$k(t)$
7386,$L_a^{a+da}$
7387,$\rho(X)=\mathsf{E}_{\mathsf{Q}}[X]$
7388,$X_1+X_2=X=x$
7389,${}^{[>244]}$
7390,$p\approx -\log(1-p)$
7391,"$(\Omega, \mathsf P, \mathscr F)$"
7392,"$\bar Q_{0,0}:=a_{0,0}-\bar P_{0,0}$"
7393,"$(D.south east)+(0.1, 0.05)$"
7394,$\rho_g(X \wedge a)$
7395,$t<\tau$
7396,$\theta \pm 3$
7397,$0 < r \le 1$
7398,$\mathop\square\rho_i$
7399,$=v_f \mathsf{E}_\mathsf{Q}\left[\dfrac{X_i}{X}(X\wedge a)\right]$
7400,$\mathsf{TVaR}_{p}$
7401,$b=0.3$
7402,$\mu=0.107$
7403,$(L+F)/(1-v-\pi)$
7404,"$t\in (0,1)$"
7405,$C_i = (V_i/V) C$
7406,$\mathrm{CV}(Y_t)=\mathrm{CV}(Y_1)/\sqrt{t}\to 0$
7407,$\mathsf E[T_s T_t]$
7408,$\lim_{s \downarrow 0} s/g(s) = \lim_{s \downarrow 0}1/g'(s)$
7409,$\rho(X)=53.565$
7410,"$\mathsf{Tw}(\lambda, \alpha, \beta)$"
7411,$\rho(X)\le\rho(Y)$
7412,$0 < s \le 0.2$
7413,$p=1-1/n$
7414,$\beta_Q=(a/Q)\beta_A + (P/Q)\beta_L$
7415,$\mathsf{E}(X_iX_i \mid X)\not=\mathsf{E}(X_i \mathsf{E}(X_i\mid X)\mid X)=\mathsf{E}(X_i\mid X)^2$
7416,$p=29$
7417,$c_x$
7418,${}^nS^{-1}_X(q)\le {}^nS_Y(q)$
7419,"$n=0.5,1,\dots,7$"
7420,$\sum_x x p_x$
7421,$pqV(X-Y)=pV(X)+qV(Y)-V(pX+qY)\ge0$
7422,"$\min(x+y^c, a+bz)$"
7423,$|e^{isx}|=1$
7424,$p\mapsto g'(1-p)$
7425,$\pi=1.2497$
7426,$q$
7427,$1-K_s = P_s = g(s)$
7428,$g(s^2)=g(s_1)\ge g(s)^2=g(\sqrt{s_1})^2$
7429,$12.5 billion ($
7430,$\rho(X):= \int_0^1 q(p)\phi(p)dp$
7431,$\mathbf {\alpha_1}$
7432,$g(S(x))$
7433,$\hat \theta_s = c/n$
7434,$\mathsf{var}(\sum C_i)=\sum (m_i v_i)^2 = n(mv)^2$
7435,$g(s)=(20s)\wedge 1$
7436,$F(x)=\mathsf{P}(X\le x)$
7437,$\mathsf{VaR}_{0.7}(X)=2.439 >  2 \times 1.204=2.408$
7438,"$g(0-)f(\mathrm{ess\,sup}(X))$"
7439,$\rho(X\wedge a)=\mathsf{E}_\mathsf{Q}[X\wedge a]$
7440,$\approx 10^{-5}$
7441,$\lambda X_1$
7442,$\rho(U)=1$
7443,$s\sqrt{1+n^{-1}+(x-\bar x)^2/((n-1)s_x^2)}$
7444,$r = d / v$
7445,$p=3/4$
7446,$\text{VaR}_p$
7447,$x\mapsto (x-d)_+^{n-1}$
7448,$s_0$
7449,$(1-g(s))(1-q)$
7450,$g(S(x))>g(x)$
7451,$1-t> (1-t)^2 > s_0$
7452,$R_t$
7453,$\mathsf{VaR}_p$
7454,$\sigma > 1$
7455,$<\int_0^1 x^{\alpha}dx$
7456,$I$
7457,${}^{[>4]}$
7458,$F_\sigma$
7459,"$\mathbf{j, p, S, \kappa_1, \Delta X, \Delta(X\wedge a)}$"
7460,$10^{18}$
7461,$ and gamma severity. Distributions with $
7462,$\mathsf{Pr}r(X_0\le 0)=1$
7463,$\mathsf{TVaR}_{0.8}(X)=8.5$
7464,$E_\mathsf{Q}$
7465,$P_k = g(S_k)$
7466,"$a_{0,2}$"
7467,$P_g\{X=M\}=g(0+)>0$
7468,$S(x) + dF(x) + (\delta^*-d)\sqrt{S(x)F(x)}>1$
7469,$\bar P(a) = \bar S(a) +\bar\delta(a) \bar F(a)$
7470,$X_0 + \epsilon Y$
7471,$Y=W+Q$
7472,$y=$
7473,$E[X\_{2}(a)]$
7474,$c\ge 0$
7475,$r_D=0$
7476,$0.98u(52)>0.98 (63/61)u(50)>u(50)$
7477,$\zeta\circ T\in\mathcal{M}$
7478,"$\mathsf{MON,\ NORM}$"
7479,"$G(t, 1/\nu)$"
7480,$4\times 10^{19}$
7481,$\int xf(x)dx$
7482,"$Z \sim \mathrm{DM}^*(\theta, \lambda)$"
7483,$(c(S\cup \{i\})-c(S))$
7484,$s^{*} = \max\{ s(j)|X^{< j >} > A\}$
7485,$X=q$
7486,$\rho(Y) \le \sup_m b_m < b_{m_0}$
7487,$g:\mathcal{B}bb R_+\to\mathcal{B}bb R\cup\{\infty\}$
7488,$AK$
7489,$\mathsf{Pr}r(X\ge x_0)=p_-$
7490,"$\mathbf {S\,\Delta X}$"
7491,$(y-\mu)/V(\mu)$
7492,$Q=\sum_j Q_j$
7493,$L_\sigma^*:=\{ Z\in L_1\mid \| Z\|_\sigma^*< \infty \}$
7494,$s=S(x)$
7495,$\downarrow\downarrow$
7496,$827.41 and \$
7497,$G_\delta\subset\R$
7498,${}_tE_x=e^{-\delta t}{}_tp_x$
7499,"$(0,\infty)$"
7500,"$1 between any of the tranches, then $"
7501,$\tilde x$
7502,$l(y;\mu)=\mu y - \dfrac{\mu^2}{2}$
7503,$E_{\mathsf{Q_X}}[X_i(a)]$
7504,$|^F$
7505,$p(\omega_1)+\cdots +p(\omega_1)$
7506,$(s+\iota) / (1+\iota)$
7507,$X_n(\omega)\to X(\omega)$
7508,"$\mathcal{M}_{X,r}$"
7509,$c>0$
7510,$p_2 = p_1 / 2$
7511,$\mathit{EL}$
7512,$A_t = t$
7513,$j=2$
7514,$2\times 10^{30}$
7515,$N_t - A_t = -t$
7516,$P^T(T=t\mid t)=\mathsf{Pr}(\{t\})=0$
7517,"$\mathsf{Pr}(A)=\mathsf{Pr}(A\cap\Omega)=\int_\Omega 1_B\,d\mathsf{Pr}=\mathsf{Pr}(B)$"
7518,${}^{[<33]}$
7519,$Z_0$
7520,"$s_i, i=0,\dots,R$"
7521,"$([0, 1], \tF,\mathsf{Pr})$"
7522,$_p$
7523,$(1-p)^{-1}\mathsf{E}[X_i1_{X\ge x_p}(X)]$
7524,$y_4$
7525,$0 \le p<1$
7526,$R^2=0.886$
7527,$1-\delta=\nu$
7528,$s=\exp(-a/b)$
7529,$\zeta_{\bar x}$
7530,$Z_k=q_k/p_k<1$
7531,$p(1-p)/(p\nu_p)^2$
7532,$Q=a-\rho(X)$
7533,$M=\inf\{ x\mid S(x)=0\}$
7534,$RA$
7535,$\beta_i(a)g(S(a))=\mathsf{E}_{\mathsf{Q}}[(X_i/X) \mid X>a]g(S(a))=\mathsf{E}_{\mathsf{Q}}[(X_i/X) 1_{X>a}]$
7536,"$\{ \omega\mid p(\omega, A)=1_A(\omega),\ \forall A\in\mathscr{G} \}$"
7537,$\mathsf{Pr}r(Y_m > y) = 1 - (1 - \mathsf{Pr}r(X > y))^n$
7538,$q_1(t)=t$
7539,$\mathsf{E}[X_iX]$
7540,$0 on the \$
7541,$t\ge T$
7542,$\tau'(\theta)=\kappa''(\theta)=\mathsf{Var}(Y_\theta)>0$
7543,"$Y_{1,2}$"
7544,$\mathsf{FAT}$
7545,$X \le a$
7546,$E[X_i \mid X]$
7547,$\lambda_2/\lambda$
7548,$F(x)=\mathsf{Pr}r(X\le x)$
7549,$X_n=-e^{-nx}$
7550,$\mu_{rU}$
7551,$1\mapsto 1$
7552,"$m_{p_i,p_j}:=w_{p_i,p_j}\delta_{p_i} + (i-w_{p_i,p_j})\delta_{p_j}$"
7553,"$f:(L,\mathcal{A})\to(M, \mathcal{B})$"
7554,$R_1=C_1$
7555,$\bar M(a) = \bar P(a) - \mathsf{E}[X\wedge a]$
7556,$R_x:=T_x-x$
7557,$=64 \times 4 = 256$
7558,$a=9532.0$
7559,$\displaystyle\int_\Omega X(\omega)\mathsf{Pr}(\omega)$
7560,"$500, with the other options being \$"
7561,$\mathsf{Pr}hi(-d^*)>0$
7562,$(m_1-m_0)/s_1$
7563,$P_i = L_i + \iota K_i$
7564,$\rho(X)\le b$
7565,"$(s_{j}, g_{j})$"
7566,"$[f'_-(x_0), f'_+(x_0)]$"
7567,$c_r := g(0+)\Theta_0^X + \sum_{i=1}^{R-1}\Delta_i s_i\Theta_i^X$
7568,$\mathsf Q$
7569,"$\mathsf{CP}(\lambda, B)$"
7570,$600 million; Allstate is expecting $
7571,$Q_k=\Delta X_k-P_k$
7572,$\omega=.\omega_1\omega_2\dots$
7573,$\mathsf{E}[X \mid U]$
7574,$\mathsf P=\mathsf P_0$
7575,"$\mathsf{PH, SA, CX, COH}$"
7576,$s/\sqrt{(n-1)s_x^2}$
7577,$\exists c>0: \left\Vert K_\delta\right\Vert_{L^1}\le c\ \forall \delta>0$
7578,$\bar S(a):=\mathsf{E}(X\wedge a)$
7579,$-u''(w)/u'(w)$
7580,$\hat{\tilde p}=1-g^{-1}(1-[1-g(1-p)])=p$
7581,$C_i = m_i - X_i$
7582,"$1,\dots,m$"
7583,$\rho(A_0) \le \rho(A_0) + \mathsf E[A] \le \rho(A)$
7584,$\mathsf{E}[X\mid X \ge x]\ge x$
7585,$X_t:=X\mid\mathscr F_t$
7586,$s^2$
7587,"$ (range.south)+(0, -1) $"
7588,$(8)(0.25)+(10)(0.25)=4.5$
7589,$\rho_g(X)=\mathsf{E}[q(U)\phi(U)]$
7590,$P = 3.103$
7591,$1+v_s$
7592,$R_2(t)\approx \mathsf{E}[X_1]$
7593,$M(x)=g(s)-s$
7594,$uv<1-s_0$
7595,$0< m\le 1$
7596,$\Delta X_k=P_k+Q_k$
7597,$m^2(1+m)$
7598,$\phi_i = 1/n$
7599,$K-1$
7600,$M:=\max(X)$
7601,$ and also that $
7602,$W'_t=\zeta_{t+1}Z_{t+1}+\cdots + \zeta_nZ_n$
7603,$\mathit{BEL}_s = \sum_{i=0}^{T-1} v^{T-i} \mathsf P_{s} X_{s-i}$
7604,$(\rho_t)_t$
7605,$\mathsf{E}[\zeta \tilde X]$
7606,"$\iota, \iota(x), \iota(p)$"
7607,$\sum \Delta X_K=a$
7608,$Q(\omega) = q(\omega)P(\omega)/(1+r)$
7609,$X:\mathbb{R}\to\mathbb{R}$
7610,$X=m$
7611,$g(s)=d + O(s)$
7612,$x/c$
7613,$U_s$
7614,$c_h(1-\alpha)$
7615,$v-\nu^{\star}=(\iota^{\star}-i)/v\nu^{\star}$
7616,$\bar{\mathbf  P}$
7617,$\{X = q_X(p) \}$
7618,${}^{[<12]}$
7619,$1./16=0.0625$
7620,$\mu()$
7621,"$k=1,2,\dots,m$"
7622,$R=L^*+R^*$
7623,$(1-t)X_0 + tX_1$
7624,$X\ge Y$
7625,$0.4/44.4 = 0.0090$
7626,$(p-\nu-il(p))/(\nu-l(p))$
7627,$(y-\mu)/\sqrt{V(\mu)}$
7628,$\mathcal A=\mathcal A_\rho$
7629,$p<0.5$
7630,$dF$
7631,$\phi'(s)\ge 0$
7632,$D_s = X_s - X_{s-1}$
7633,$gn$
7634,$g_2(s)=s^{0.5}$
7635,$-k$
7636,$L \propto M^{3.5}$
7637,$(1-t)\mathsf{E}[X_1]$
7638,$m<n$
7639,"$, resulting in a distribution with support on $"
7640,$g_1 = T_L+\phi_{L+1} s_1$
7641,$w(X)=1_{X>X_p}$
7642,$M_i := \beta_ig-\alpha_iS$
7643,"$\mathsf{Tw}_{1.05}(2, 5)$"
7644,$A\in \mathscr{F}$
7645,$\rho(X)=\sup_{\mathsf Q\in\mathcal Q} \mathsf{E}_\mathsf{Q}[X]$
7646,$\{ X>x \}$
7647,$f(Y_t)=\log(Y_t)$
7648,$\Delta X_k=X_{k+1}-X_k$
7649,"$(t,g(t))$"
7650,$\mathscr F_1=\sigma(N)$
7651,$\lambda_1/\lambda$
7652,"$g(s)=s^{{{port.dists[""ph""].shape:.3f}}}$"
7653,$0\le t\le 1$
7654,$g^{m+ra} = g^m (g^a)^r = g^m A^r$
7655,$f(y;\mu)=\mu e^{-y/\mu}$
7656,$P(1)$
7657,$f=0$
7658,"$(\exp(X),\exp(Y))$"
7659,$y^{\ast}:=\min(y)$
7660,$\rho(X)=\sup\{\mathsf{E}[hX] \mid h \in \mathscr P \}$
7661,$S_Y$
7662,"$\sum_i h_{i, \epsilon}=h_0$"
7663,$L_\sigma$
7664,"$(\mathsf{E}(X_i)-\mathsf{E}(X_{i,2}(a))/\mathsf{E}(X_i)$"
7665,$\mathsf{E}[X]=\infty$
7666,$\rho_g(X\wedge a)=(\bar L + ra)/(1+r)$
7667,$0.41$
7668,"$\mathbf X = (X_1, \dots, X_n)$"
7669,$LR_{TVaR}$
7670,$\mathsf{E}_Q[\dfrac{X_i}{X}(X\wedge A)] + \delta A \mathsf{E}_Q[X_i/X\mid X > a]$
7671,$\alpha_Y = \alpha_X=\alpha$
7672,$P(\{\omega_2\})=2/3$
7673,"$. The bracketed term in the middle expression is the objective, expected monetary future value claims, accounting for the rate of growth of liabilities, and $"
7674,$g'\circ S_X$
7675,$g(x)$
7676,$x < y$
7677,$9+1=10+0$
7678,$S_i(x)=\alpha_i(x)S(x)$
7679,$g(s) / (1-g(s))$
7680,$\mathsf{MONETARY}$
7681,"$\displaystyle\int_0^{1-g(S(a))} \mathsf{E}[X_i\mid X=q(1-g^{-1}(1-p))]\,dp + a\beta_i(a)g(S(a))$"
7682,$q<p$
7683,$g''<0$
7684,"$^{\,5}$"
7685,$\rho_{(g)}=\max\{\mathsf{E}(ZX) \mid Z\in A\}$
7686,$\mathsf{TVaR}_q$
7687,$\delta(p)=\rho(p)\nu(p)=1-\nu(p)$
7688,$g(s)=s^{0.4}$
7689,$Z_A$
7690,"$0, 1, 90$"
7691,$\mathsf{E}[(A-L)^+]/\mathsf{E}[L]$
7692,"$\mathsf{E}[X\mid T=t] = \displaystyle\int_L \mathsf{E}[X\mid S=s,T=t]P^T_S(ds$"
